model_id,task_family,metric,n,mean,std,median,ci95_low,ci95_high
gpt-5.4,open_ended_reasoning,ECS,35,0.4810020221028066,0.15646772842067055,0.4697909362990627,0.4312822747789461,0.5338162764077687
gpt-5.4,open_ended_reasoning,EVR,35,0.5176828468050104,0.1571075020664085,0.5179407234350306,0.46568201603224496,0.5660276541117255
gpt-5.4,open_ended_reasoning,EDI,35,0.5140479394223646,0.16140810233514194,0.5401316489793606,0.45818868040427824,0.5640494765879577
gpt-5.4,structured_decision_support,ECS,30,0.45737693746316016,0.048483600558851335,0.4597473280532759,0.441429196998777,0.4746876928433523
gpt-5.4,structured_decision_support,EVR,30,0.5449537850641899,0.0575035522155374,0.5438612735858996,0.5245923857265459,0.5655142265384715
gpt-5.4,structured_decision_support,EDI,30,0.539477317342734,0.06885284700441249,0.5396743401165534,0.5140930161257663,0.5632376271432316
gpt-5.4,text_classification,ECS,35,0.6315039879123334,0.07396715888069635,0.6383281646429373,0.6069359767078076,0.6542564097237423
gpt-5.4,text_classification,EVR,35,0.36131346002907233,0.07040777523128412,0.3489782097189576,0.3390884737371384,0.3849630903365159
gpt-5.4,text_classification,EDI,35,0.3771015865061406,0.08057721495933007,0.3552501309919796,0.3519176173903215,0.4041180718757829
gpt-5.4-mini,open_ended_reasoning,ECS,35,0.42034512771524746,0.16020439965326772,0.4232392150826189,0.37030733176650854,0.47368839346587677
gpt-5.4-mini,open_ended_reasoning,EVR,35,0.5862307669073269,0.1704867145124457,0.5957559634011376,0.5307095362063075,0.6423329675008487
gpt-5.4-mini,open_ended_reasoning,EDI,35,0.5720315753360224,0.16129058312649036,0.5678510142390605,0.5199370693554951,0.6238627902556279
gpt-5.4-mini,structured_decision_support,ECS,30,0.41387968972242717,0.035913518652006704,0.40773324632584584,0.40156709516253514,0.427058305008347
gpt-5.4-mini,structured_decision_support,EVR,30,0.5827249810396362,0.048124403049149715,0.5867633610521228,0.5655505683666286,0.5994231346165441
gpt-5.4-mini,structured_decision_support,EDI,30,0.5848819994546208,0.04936765273204494,0.5843613970807879,0.5676151007187932,0.6022814858865319
gpt-5.4-mini,text_classification,ECS,35,0.6608184986732429,0.06708338583127618,0.6614261694886484,0.6391446034208645,0.6839241118595302
gpt-5.4-mini,text_classification,EVR,35,0.3416698590516363,0.06823726678350468,0.3405827306026888,0.31844192085416556,0.3638060053574429
gpt-5.4-mini,text_classification,EDI,35,0.3405187148614525,0.08133404529736535,0.3355322876690653,0.3137664914743397,0.3671917876817591
